,name,lat,lon
0,EV.ASMB,[36.3895],[138.5188]
1,EV.MAE,[36.40217],[138.53271]
2,V.ASMG,[36.4042],[138.505]
3,EV.SAN,[36.40437],[138.54855]
4,EV.GIP,[36.3974],[138.49673]
5,EV.KME,[36.406223 36.40662 ],[138.52708 138.52628]
6,EV.FJM,[36.40226],[138.53793]
7,EV.KAE,[36.40662],[138.52278]
8,EV.KMN,[36.41692],[138.51791]
9,EV.KMS,[36.40383 36.40445],[138.52432 138.52437]
10,EV.KAW,[36.40661],[138.51727]
11,EV.KUR,[36.42305],[138.54231]
12,EV.SEN2,[36.43331],[138.49336]
13,EV.TKA,[36.40386],[138.47702]
14,N.TUMH,[36.4917],[138.5244]
15,V.AMSO,[36.3718],[138.5055]
16,N.AMTV,[36.41006],[138.47015 138.47008]
17,EV.MRK,[36.44811],[138.45825]
18,N.AMOV,[36.43864 36.43858],[138.5342  138.53438]
19,V.ASMD,[36.4353],[138.514]
20,EV.ASS2,[36.37895],[138.47667]
21,V.ASMA,[36.3758],[138.536]
22,EV.AVO,[36.40468],[138.56854]
23,EV.IKEN,[36.41389],[138.43967]
24,EV.KZAW,[36.43994 36.43794],[138.41937 138.42055]
25,EV.NARA,[36.39897],[138.39008]
26,EV.YUN2,[36.4113  36.41136],[138.50311 138.50214]
27,N.MYTH,[36.3308],[138.4967]
28,E.KUJ,[36.57474],[138.63214]
29,V.ASMB,[36.3895],[138.5188]
30,V.ASME,[36.4183],[138.5365]
31,N.AMKV,[36.40824],[138.55719]
32,V.ASMO,[36.342],[138.5473]
33,ASMG,[36.4041 36.4012 36.4042],[138.505  138.5082]
34,ASMD,[36.4353 36.4322],[138.5141 138.5172 138.514 ]
35,ASMB,[36.3895 36.3865],[138.5188 138.522 ]
36,EV.KAH2,[36.40728],[138.52307]
37,ASMC,[36.3839 36.3808 36.3838],[138.5419 138.545  138.5418]
38,EV.KAH,[36.40728],[138.52307]
39,EV.KAC,[36.40661],[138.51727]
40,IKEN,[36.41389],[138.43967]
41,ASMA,[36.3758 36.3727],[138.5359 138.5392]
42,KZAW,[36.43994],[138.41939 138.41937]
43,NARA,[36.39897],[138.39008]
44,KRHY,[36.4052],[138.4885]
45,H.MYTH,[36.3308],[138.4968]
46,ONI,[36.44454 36.4328 ],[138.52092 138.51732]
47,TKA,[36.40089 36.40074],[138.47421 138.48016]
48,AVO,[36.40156],[138.5717]
49,MAE,[36.39905],[138.53586]
50,SAN,[36.40125],[138.5517]
51,FJM,[36.39914],[138.54108]
52,MYTH,[36.3277],[138.4999]
53,ASMa,[36.3727],[138.5392]
54,SEN2,[36.43019],[138.4965]
55,KUR,[36.41993],[138.54547]
56,KAC,[36.40349],[138.52042]
57,ASS,[36.37591],[138.48083]
58,KAC2,[36.40349],[138.52042]
59,KAH2,[36.40416],[138.52621]
